"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AOD442G","Full Production","TO252","Single","N","60","20","40","60","18","23","47.50","24","1.50","2.10","2.70","1920","155","115","14.50",,,"30","105","Industrial","No","150"
"AOD444","Full Production","TO252","Single","N","60","20","12","20","60","85","7.50","3.80","1","2.40","3","450","61","27","1.90","4.20","16","27","30","Industrial","No","175"
"AOD4454","Full Production","TO252","Single","N","150","20","20","100","94",,"15",,"3.40","4","4.60","820","70","22","4.40","10.50","14.50","32.50","230","Industrial","No","175"
"AOD4504","Full Production","TO252","Single","N","200","20","6","42.50","400",,"82","44","1.70","2.80","3.70","328","20.50","8","30","6","18","35","150","Industrial","No","150"
"AOD454A","Full Production","TO252","Single","N","40","20","20","37","30","40",,"8.30","1.70","2.50","3","516","82","43","1.60","6.40","16.20","18","10","Industrial","No","175"
"AOD458","Full Production","TO252","Single","N","250","30","14","150","280",,,"12","3","3.80","4.50","637","104","7.10","4.60","21","29","150","1240","Industrial","No","175"
"AOD464","Full Production","TO252","Single","N","105","25","40","100","28",,"38.50",,"2.50","3.20","4","2038","204","85","10","12.70","31.50","59.60","161","Industrial","No","175"
"AOD468","Full Production","TO252","Single","N","300","30","11.50","150","420",,"12.80",,"3.40","4","4.50","632","90","7","4.30","18","36","170","1300","Industrial","No","175"
"AOD478","Full Production","TO252","Single","N","100","20","11","45","140","152","10.30","5.10","1.70","2.20","2.80","445","29","16","2.40","8","17","21","97","Industrial","No","175"
"AOD482","Full Production","TO252","Single","N","100","20","32","100","37","42","34","18","1.60","2.10","2.70","1630","100","50","9","7","29","32","200","Industrial","No","175"
"AOD486A","Full Production","TO252","Single","N","40","20","50","50","9.80","13","22","10.50","1.75","2","3","1600","320","100","4.80","6.50","33","31","33","Industrial","Yes","175"
"AOD5N40","Full Production","TO252","Single","N","400","30","4.20","78","1600",,"6.90",,"-1.30","-1.85","4.50","331","42","3","2.30","16.50","24","160","930","Industrial","No","150"
"AOD66406","Full Production","TO252","Single","N","40","20","60","52","6.10","9.40","20","8.50","1.50","2","2.50","1480","245","13","3",,,"11","21","Industrial","No","150"
"AOD66616","Full Production","TO252","Single","N","60","20","70","113","3.70",,"42.50",,"2.40","2.90","3.40","2870","940","38","10","14.50","33","26","87","Industrial","No","150"
"AOD66620","Full Production","TO252","Single","N","60","20","58","52","8.50",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AOD66919","Full Production","TO252","Single","N","100","20","70","156","6.50","8.50","47","22","1.50","2","2.60","3420","790","14","5","11","43","36","214","Industrial","No","150"
"AOD66920","Full Production","TO252","Single","N","100","20","70","89","8.20","10.70","35","16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOD66923","Full Production","TO252","Single","N","100","20","58","73","11","15","25","12.50","1.60","2.10","2.60","1725","360","7.50","3.50",,,"41","156","Industrial","No","150"
"AOD8N25","Full Production","TO252","Single","N","250","30","8","78","560",,"6",,"3.10","3.70","4.30","306","51","3.20","1.50","14","23","77","290","Industrial","No","150"
"AOD9N40","Full Production","TO252","Single","N","400","30","8","125","800",,"19.50",,"3.40","4","4.50","962","73","8","7.10","24","55","195","1900","Industrial","No","150"
"AOE66410","Full Production","DFN5x6-8L","Single","N","40","20","100","147","1","1.50","113","50","1.50","1.90","1.90","9000","1600","92","11","18","83","27.50","105","Industrial","No","150"
"AOH3106","Full Production","SOT223-4L","Single","N","100","20","2","3.10","360","385","4.80","2.50","1","1.50","2","185","19","8","1.40","3.50","16","17","14.50","Industrial","No","150"
"AOH3254","Full Production","SOT223-4L","Single","N","150","20","5","4.10","63","77","11.50","5.50","1.70","2.15","2.70","675","78","4","2.50","5","12","37","210","Industrial","No","150"
"AOI2610E","Full Production","TO251A","Single","N","60","20","46","59.50","9.50","13.30","14.50","7","1.40","1.80","2.40","1100","300","28","3.50",,,"19","65","Industrial","Yes","150"
"AOI294A","Full Production","TO251A","Single","N","100","20","55","73","12","15.50","32.50","15.50","1.50","2","2.50","2305","180","11.50","5",,,"29.50","160","Industrial","No","150"
"AOI296A","Full Production","TO251A","Single","N","100","20","70","89","8.30","10.60","42","18.50","1.30","1.75","2.30","3130","245","12.50","4.50",,,"30","150","Industrial","No","150"
"AOI4126","Full Production","TO251A","Single","N","100","25","43","100","24",,"28",,"2","3.30","4","1770","165","55","10","12","17","20","82","Industrial","No","175"
"AOI4184","Full Production","TO251A","Single","N","40","20","50","50","8","11","27.20","27.20","1.70","2.20","3","1500","215","135","6.40","6.40","29.60","29","26","Industrial","No","175"
"AOI4286","Full Production","TO251A","Single","N","100","20","14","30","68","92","5.80","2.80","1.70","2.25","2.90","390","30","3","1.20","6","18","15","53","Industrial","No","175"
