Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD87355Q5D"", ""CSD87355Q5D"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87355Q5D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87355Q5D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,45,2.8,25,Power supply,-55 to 150,LSON-CLIP,8,30,5 x 6,0.77,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19505KTT"", ""CSD19505KTT"")",80,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19505KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19505KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,3.1,,212,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,1.118,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19506KTT"", ""CSD19506KTT"")",80,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19506KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19506KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.3,,291,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,1.659,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87335Q3D"", ""CSD87335Q3D"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87335Q3D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87335Q3D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,25,1.5,15,Power supply,-55 to 150,LSON-CLIP,8,10.89,3.3 x 3.3,0.463,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87502Q2"", ""CSD87502Q2"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87502Q2"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87502Q2/datasheet"", ""HTML data sheet"")",20,N-channel,Dual,32.4,42,5,,,,,-55 to 150,WSON,6,4,2 x 2,0.114,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD85302L"", ""CSD85302L"")",20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD85302L"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD85302L/datasheet"", ""HTML data sheet"")",10,N-channel,Dual Common Drain,,24,7,,,,,-55 to 150,PICOSTAR,4,1.7161,1.31 x 1.31,0.118,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19532KTT"", ""CSD19532KTT"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19532KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19532KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,5.6,,136,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,0.783,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25404Q3"", ""CSD25404Q3"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25404Q3"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25404Q3/datasheet"", ""HTML data sheet"")",-12,P-channel,Single,,6.5,-104,,,,,-55 to 150,VSON-CLIP,8,10.89,3.3 x 3.3,0.302,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19537Q3"", ""CSD19537Q3"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19537Q3"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19537Q3/datasheet"", ""HTML data sheet"")",20,N-channel,Single,14.5,,53,,,,,-55 to 150,VSON-CLIP,8,10.89,3.3 x 3.3,0.35,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD87334Q3D"", ""CSD87334Q3D"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD87334Q3D"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD87334Q3D/datasheet"", ""HTML data sheet"")",10,Power block,PowerBlock,,,,20,1.6,12,"Motor control,Power supply",-55 to 150,VSON-CLIP,8,10.89,3.3 x 3.3,0.335,ACTIVE
