part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
MS-292014-2,MS,292,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-292026-2,MS,292,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-292040-2,MS,292,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-292060-2,MS,292,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-292075-2,MS,292,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-292090-2,MS,292,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-292125-2,MS,292,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
MS-292147-2,MS,292,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-300014-2,MS,300,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-300026-2,MS,300,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-300040-2,MS,300,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-300060-2,MS,300,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-300075-2,MS,300,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-300090-2,MS,300,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-300125-2,MS,300,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
