part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
OC-090060-2,OC,090,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-090125-2,OC,090,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-092060-2,OC,092,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-092125-2,OC,092,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-106060-2,OC,106,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-106125-2,OC,106,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-107060-2,OC,107,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-107125-2,OC,107,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-108060-2,OC,108,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-108125-2,OC,108,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-109060-2,OC,109,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-109125-2,OC,109,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-130060-2,OC,130,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-130125-2,OC,130,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-131060-2,OC,131,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-131125-2,OC,131,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-132060-2,OC,132,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-132125-2,OC,132,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-133060-2,OC,133,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-133125-2,OC,133,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-134060-2,OC,134,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-134125-2,OC,134,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-135060-2,OC,135,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-135125-2,OC,135,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-141060-2,OC,141,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-141125-2,OC,141,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-157060-2,OC,157,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-157125-2,OC,157,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-184060-2,OC,184,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-184125-2,OC,184,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-185060-2,OC,185,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-185125-2,OC,185,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-200026-2,OC,200,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-200060-2,OC,200,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-200090-2,OC,200,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-200125-2,OC,200,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-225026-2,OC,225,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-225060-2,OC,225,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-225090-2,OC,225,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-225125-2,OC,225,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-226026-2,OC,226,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-226060-2,OC,226,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-226090-2,OC,226,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-226125-2,OC,226,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-250026-2,OC,250,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-250060-2,OC,250,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-250090-2,OC,250,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-250125-2,OC,250,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-292026-2,OC,292,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-292060-2,OC,292,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-292090-2,OC,292,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-292125-2,OC,292,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-300026-2,OC,300,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-300060-2,OC,300,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-300090-2,OC,300,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-300125-2,OC,300,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-301026-2,OC,301,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-301060-2,OC,301,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-301090-2,OC,301,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-301125-2,OC,301,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-350026-2,OC,350,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-350060-2,OC,350,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-350090-2,OC,350,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-350125-2,OC,350,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-400026-2,OC,400,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-400060-2,OC,400,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-400090-2,OC,400,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-400125-2,OC,400,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-401026-2,OC,401,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-401060-2,OC,401,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-401090-2,OC,401,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-401125-2,OC,401,125,1.67e+10,1.104e+09,4.284e+06,1.788e-14,0.01,7.962e-06,1.804,0,1000.0,50.0,290.0,40.0,61.8,53.8
OC-520026-2,OC,520,26,1e+06,6.209e+08,3.704e+05,2.741e-14,0.01,1.215e-06,1.607,0,300.0,100.0,103.0,200.0,62.2,55.2
OC-520060-2,OC,520,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-521026-2,OC,521,26,1e+06,6.209e+08,3.704e+05,2.741e-14,0.01,1.215e-06,1.607,0,300.0,100.0,103.0,200.0,62.2,55.2
OC-521060-2,OC,521,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OD-014026-8,OD,014,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-014060-8,OD,014,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-014090-8,OD,014,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-200026-2,OD,200,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-200060-2,OD,200,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-200090-2,OD,200,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-225026-2,OD,225,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-225060-2,OD,225,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-225090-2,OD,225,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-226026-2,OD,226,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-226060-2,OD,226,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-226090-2,OD,226,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-250026-2,OD,250,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-250060-2,OD,250,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-250090-2,OD,250,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-292026-2,OD,292,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-292060-2,OD,292,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-292090-2,OD,292,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-300026-2,OD,300,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-300060-2,OD,300,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-300090-2,OD,300,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-301026-2,OD,301,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-301060-2,OD,301,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-301090-2,OD,301,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-350026-2,OD,350,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,5.445e-08,2.001,0,300.0,100.0,151.0,200.0,82.0,76.0
OD-350060-2,OD,350,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-350090-2,OD,350,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-400026-2,OD,400,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,1.553e-07,1.845,0,300.0,100.0,151.0,200.0,78.6,72.4
OD-400060-2,OD,400,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-400090-2,OD,400,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-401026-2,OD,401,26,1e+06,2.514e+08,3.499e+06,2.729e-14,0.01,1.553e-07,1.845,0,300.0,100.0,151.0,200.0,78.6,72.4
OD-401060-2,OD,401,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-401090-2,OD,401,90,1e+06,7.629e+08,4.688e+06,4.273e-14,0.01,4.343e-07,2.124,0,1000.0,50.0,443.0,50.0,85.0,79.4
OD-520026-2,OD,520,26,1e+06,5.334e+08,2.168e+06,4.542e-14,0.01,1.553e-07,1.845,0,300.0,100.0,121.0,200.0,78.6,72.4
OD-520060-2,OD,520,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OD-521026-2,OD,521,26,1e+06,5.334e+08,2.168e+06,4.542e-14,0.01,1.553e-07,1.845,0,300.0,100.0,121.0,200.0,78.6,72.4
OD-521060-2,OD,521,60,1e+06,8.154e+08,2.976e+06,3.292e-14,0.01,2.111e-08,2.501,0,1000.0,50.0,450.0,100.0,82.5,74.9
OE-014026-8,OE,014,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-014060-8,OE,014,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-014090-8,OE,014,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-200026-2,OE,200,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-200060-2,OE,200,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-200090-2,OE,200,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-225026-2,OE,225,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-225060-2,OE,225,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-225090-2,OE,225,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-226026-2,OE,226,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-226060-2,OE,226,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-226090-2,OE,226,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-250026-2,OE,250,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-250060-2,OE,250,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-250090-2,OE,250,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-292026-2,OE,292,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-292060-2,OE,292,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-292090-2,OE,292,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-300026-2,OE,300,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-300060-2,OE,300,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-300090-2,OE,300,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-301026-2,OE,301,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-301060-2,OE,301,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-301090-2,OE,301,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-350026-2,OE,350,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-350060-2,OE,350,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-350090-2,OE,350,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-400026-2,OE,400,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-400060-2,OE,400,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-400090-2,OE,400,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-401026-2,OE,401,26,1e+06,2.872e+08,2.868e+06,2.365e-14,0.01,3.081e-07,1.754,0,300.0,100.0,145.0,200.0,75.0,68.5
OE-401060-2,OE,401,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-401090-2,OE,401,90,1.655e+09,7.086e+08,4.038e+06,2.568e-14,0.01,3.156e-06,1.858,0,1000.0,50.0,431.0,50.0,68.8,61.1
OE-520026-2,OE,520,26,1e+06,3.569e+08,8.58e+06,4.192e-14,0.01,7.206e-07,1.66,0,300.0,100.0,108.0,200.0,67.8,60.9
OE-520060-2,OE,520,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
OE-521026-2,OE,521,26,1e+06,3.569e+08,8.58e+06,4.192e-14,0.01,7.206e-07,1.66,0,300.0,100.0,108.0,200.0,67.8,60.9
OE-521060-2,OE,521,60,1e+06,6.811e+08,3.796e+06,2.696e-14,0.01,1.076e-07,2.308,0,1000.0,50.0,457.0,100.0,69.2,59.6
SH-014026-8,SH,014,26,1e+06,3.287e+08,5.779e+06,1.24e-14,0.01,1.042e-06,1.701,0,500.0,100.0,277.0,200.0,53.9,46.1
SH-014060-8,SH,014,60,1e+06,8.801e+08,5.421e+06,1.033e-14,0.01,7.724e-06,1.612,0,1000.0,50.0,317.0,100.0,43.6,36.5
SH-014125-8,SH,014,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-015125-8,SH,015,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-018125-8,SH,018,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-025125-8,SH,025,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-026125-8,SH,026,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-027125-8,SH,027,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-028125-8,SH,028,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-031125-8,SH,031,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-038125-8,SH,038,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-039125-8,SH,039,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-040125-2,SH,040,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-044125-2,SH,044,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-050125-2,SH,050,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
SH-065125-2,SH,065,125,7.985e+09,1.378e+09,4.041e+06,7.891e-15,0.01,3.265e-05,1.587,0,1000.0,50.0,240.0,40.0,46.8,39.7
