,,,,,%Perm vs. DC Sat. Coef.,,,,Core Loss Coefficients,,,,%Perm. vs. AC Flux Density Coefficients,,,,,,Perm vs. Frequency Coefficients,,,,B vs H Coefficients,,,,,,T expressed in Celsius,,,
Material,PartType,Init. Perm. (µ),Bsat(G),Density(g/cm³),a,b,c,d,a,b,c,d,a,b,c,d,e,f,a,b,c,d,a,b,c,d,e,a,b,c,d,e
38,T.E,85,18705,7.1,1.000E-02,9.782E-06,1.757E+00,0.000E+00,1.200E+09,1.300E+08,1.900E+06,3.200E-13,1.172E+02,1.857E+00,6.541E-01,4.702E+14,-2.963E+00,5.784E+02,1.279E-02,1.045E-07,7.712E-01,7.711E+00,2.176E-01,2.000E+00,3.406E+01,6.465E-01,2.201E+02,956,,,,
40,T.E,60,18352,6.9,1.000E-02,8.933E-06,1.614E+00,0.000E+00,1.100E+09,3.300E+07,2.500E+06,3.100E-13,1.322E+02,7.790E-01,8.574E-01,6.948E+14,-3.017E+00,3.928E+02,1.859E-02,5.977E-08,8.227E-01,6.639E+00,1.882E-01,1.980E+00,3.204E+01,6.647E-01,3.059E+02,950,,,,
45,T.E,100,18880,7.2,1.000E-02,2.438E-05,1.607E+00,0.000E+00,1.200E+09,1.300E+08,2.400E+06,1.200E-13,1.126E+02,2.156E+00,6.621E-01,5.493E+15,-3.220E+00,6.243E+02,1.088E-02,6.491E-09,8.904E-01,8.434E+00,3.063E-01,2.057E+00,3.921E+01,5.950E-01,1.888E+02,1043,,,,
52,T.E,75,18529,7.0,1.000E-02,4.657E-06,1.841E+00,0.000E+00,1.000E+09,1.100E+08,2.100E+06,6.900E-14,1.337E+02,1.200E+00,7.763E-01,4.301E+21,-4.804E+00,3.741E+02,1.502E-02,5.374E-09,9.200E-01,8.584E+00,1.976E-01,1.963E+00,6.121E+01,4.175E-01,2.471E+02,650,,,,
60,T.E,55,14377,6.1,1.000E-02,1.942E-05,1.362E+00,0.000E+00,5.300E+08,1.400E+08,1.200E+06,2.700E-14,2.092E+02,8.713E-01,9.329E-01,1.437E+11,-2.274E+00,1.861E+02,1.855E-02,2.958E-10,1.001E+00,1.000E+00,1.567E-01,1.812E+00,1.409E+01,6.434E-01,2.614E+02,168,,,,
61,T.E,38,14377,6.1,1.000E-02,7.601E-06,1.388E+00,0.000E+00,4.000E+08,1.100E+08,5.100E+05,2.400E-14,1.973E+02,3.667E+00,5.890E-01,5.720E+11,-2.449E+00,1.905E+02,2.941E-02,2.958E-10,1.001E+00,1.000E+00,8.801E-02,1.687E+00,2.243E+01,6.331E-01,4.108E+02,-418,,,,
63,T.E,35,14061,5.9,1.000E-02,1.290E-05,1.243E+00,0.000E+00,9.940E+08,2.560E+08,1.000E+04,3.340E-15,5.036E+02,1.059E-01,1.393E+00,5.712E+11,-2.430E+00,1.252E+02,1.266E-01,1.975E-07,6.635E-01,2.704E+01,6.648E-02,1.645E+00,1.843E+01,7.043E-01,4.017E+02,-313,,,,
65,T.E,42,15978,6.1,1.000E-02,6.159E-06,1.498E+00,0.000E+00,6.900E+09,6.000E+07,1.100E+06,2.500E-14,1.973E+02,3.667E+00,5.890E-01,5.720E+11,-2.449E+00,1.905E+02,3.040E-02,7.094E-09,9.411E-01,9.128E+00,9.228E-02,1.717E+00,2.392E+01,5.704E-01,3.804E+02,-80,,,,
66,T.E,66,16152,6.2,1.000E-02,1.231E-05,1.484E+00,0.000E+00,1.720E+10,4.957E+07,1.228E+06,1.735E-14,1.913E+02,2.786E-01,9.696E-01,1.541E+13,-2.759E+00,2.096E+02,1.617E-02,2.457E-12,1.271E+00,4.200E+00,6.848E-02,2.002E+00,3.716E+01,4.514E-01,2.447E+02,-220,,,,
70,T.E,100,8594,7.4,1.000E-02,1.853E-05,1.641E+00,0.000E+00,1.000E+10,1.300E+09,7.900E+06,4.200E-14,6.295E+02,4.102E+00,6.205E-01,1.764E+10,-2.071E+00,1.191E+02,1.010E-02,7.012E-09,8.282E-01,1.000E+00,2.750E-02,1.851E+00,1.402E+09,2.268E-04,8.594E+01,216,,,,
