Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/TO264.jpg","IXTK128N15-ND","IXTK128N15","IXYS","IXYS","MOSFET N-CH 150V 128A TO264","0","Obsolete","0","0","Tube","MegaMOS™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","128A (Tc)","10V","15mOhm @ 500mA, 10V","4V @ 250µA","240 nC @ 10 V","±20V","6000 pF @ 25 V","-","540W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-264 (IXTK)","TO-264-3, TO-264AA","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/TO264.jpg","IXTK180N15-ND","IXTK180N15","IXYS","IXYS","MOSFET N-CH 150V 180A TO264","0","Obsolete","0","0","Tube","MegaMOS™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","180A (Tc)","10V","9mOhm @ 500mA, 10V","4V @ 250µA","240 nC @ 10 V","±20V","7000 pF @ 25 V","-","730W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-264 (IXTK)","TO-264-3, TO-264AA","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/TO264.jpg","IXTK90N15-ND","IXTK90N15","IXYS","IXYS","MOSFET N-CH 150V 90A TO264","0","Obsolete","0","0","Tube","MegaMOS™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","90A (Tc)","10V","16mOhm @ 45A, 10V","4V @ 250µA","240 nC @ 10 V","±20V","6400 pF @ 25 V","-","390W (Tc)","-55°C ~ 150°C (TJ)","Through Hole","TO-264 (IXTK)","TO-264-3, TO-264AA","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_trench_gate_ixt_130n15t_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4818/238%3BTO3P%3B%3B3.jpg","IXTQ130N15T-ND","IXTQ130N15T","IXYS","IXYS","MOSFET N-CH 150V 130A TO3P","0","Obsolete","0","0","Tube","Trench","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","130A (Tc)","10V","12mOhm @ 65A, 10V","4.5V @ 1mA","113 nC @ 10 V","±30V","9800 pF @ 25 V","-","750W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-3P","TO-3P-3, SC-65-3","-","-"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1048/IRFS%28L%294228PbF.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4228TRLPBFTR-ND","IRFS4228TRLPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 83A D2PAK","0","Obsolete","0","0","Tape & Reel (TR)","HEXFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","83A (Tc)","10V","15mOhm @ 33A, 10V","5V @ 250µA","107 nC @ 10 V","±30V","4530 pF @ 25 V","-","330W (Tc)","-40°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/742%3B5843%3BP%2CN%3B2.jpg","SUM75N15-18P-E3-ND","SUM75N15-18P-E3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 150V 75A TO263","0","Obsolete","0","0","Tape & Reel (TR)","TrenchFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","75A (Tc)","10V","18mOhm @ 20A, 10V","4.5V @ 250µA","100 nC @ 10 V","±20V","4180 pF @ 75 V","-","3.12W (Ta), 312.5W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","TO-263 (D2PAK)","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.vishay.com/docs/91328/irlz44.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/540/SIHP7N60E-GE3.JPG","SUP90N15-18P-E3-ND","SUP90N15-18P-E3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 150V 90A TO220AB","0","Obsolete","0","0","Tube","TrenchFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","90A (Tc)","10V","18mOhm @ 20A, 10V","4.5V @ 250µA","100 nC @ 10 V","±20V","4180 pF @ 75 V","-","3.75W (Ta), 375W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-220AB","TO-220-3","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2160/TO-247-3-AB-EP.jpg","HUFA75852G3-F085-ND","HUFA75852G3-F085","onsemi","onsemi","MOSFET N-CH 150V 75A TO247-3","0","Obsolete","0","0","Tube","UltraFET™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","75A (Tc)","10V","16mOhm @ 75A, 10V","4V @ 250µA","480 nC @ 20 V","±20V","7690 pF @ 25 V","-","500W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-247-3","TO-247-3","Automotive","AEC-Q101"
"https://www.infineon.com/dgdl/auirfs4115-7p.pdf?fileId=5546d462533600a4015355b6c64614cb","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2605/TO-263-7%20DPak%20%286%20LeadsTab%29.jpg","AUIRFS4115-7P-ND","AUIRFS4115-7P","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 105A D2PAK","0","Obsolete","0","0","Tube","HEXFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","105A (Tc)","10V","11.8mOhm @ 63A, 10V","5V @ 250µA","110 nC @ 10 V","±20V","5320 pF @ 50 V","-","380W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK (7-Lead)","TO-263-7, D2PAK (6 Leads + Tab)","-","-"
"https://www.infineon.com/dgdl/auirfs4115-7p.pdf?fileId=5546d462533600a4015355b6c64614cb","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2605/TO-263-7%20DPak%20%286%20LeadsTab%29.jpg","AUIRFS4115-7TRL-ND","AUIRFS4115-7TRL","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 105A D2PAK","0","Obsolete","0","0","Tape & Reel (TR)","HEXFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","105A (Tc)","10V","11.8mOhm @ 63A, 10V","5V @ 250µA","110 nC @ 10 V","±20V","5320 pF @ 50 V","-","380W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK (7-Lead)","TO-263-7, D2PAK (6 Leads + Tab)","-","-"
