Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_hiperfets_ixf_200n10p_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/TO264.jpg","IXFK200N10P-ND","IXFK200N10P","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 100V 200A TO264AA","300","12.9616","0","25","Tube","HiPerFET™, Polar","Active","N-Channel","MOSFET (Metal Oxide)","100 V","200A (Tc)","10V","7.5mOhm @ 100A, 10V","5V @ 8mA","235 nC @ 10 V","±20V","7600 pF @ 25 V","-","830W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-264AA (IXFK)","TO-264-3, TO-264AA","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_hiperfets_ixf_250n10p_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2530/TO-247-Plus-%28X%29.jpg","IXFX250N10P-ND","IXFX250N10P","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 100V 250A PLUS247-3","0","15.59193","0","300","Tube","HiPerFET™, Polar","Active","N-Channel","MOSFET (Metal Oxide)","100 V","250A (Tc)","10V","6.5mOhm @ 50A, 10V","5V @ 1mA","205 nC @ 10 V","±20V","16000 pF @ 25 V","-","1250W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","PLUS247™-3","TO-247-3 Variant","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_hiperfets_ixf_250n10p_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/401/TO264.jpg","IXFK250N10P-ND","IXFK250N10P","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 100V 250A TO264AA","26","21.71","0","1","Tube","HiPerFET™, Polar","Active","N-Channel","MOSFET (Metal Oxide)","100 V","250A (Tc)","10V","6.5mOhm @ 50A, 10V","5V @ 1mA","205 nC @ 10 V","±20V","16000 pF @ 25 V","-","1250W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-264AA (IXFK)","TO-264-3, TO-264AA","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_trench_gate_ixtn200n10t_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/408/IXYN82N120C3H1.jpg","IXTN200N10T-ND","IXTN200N10T","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 100V 200A SOT227B","270","24.97","0","1","Tube","Trench","Active","N-Channel","MOSFET (Metal Oxide)","100 V","200A (Tc)","10V","5.5mOhm @ 50A, 10V","4.5V @ 250µA","152 nC @ 10 V","±20V","9400 pF @ 25 V","-","550W (Tc)","-55°C ~ 175°C (TJ)","Chassis Mount","SOT-227B","SOT-227-4, miniBLOC","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_hiperfets_ixfn200n10p_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/408/IXYN82N120C3H1.jpg","IXFN200N10P-ND","IXFN200N10P","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 100V 200A SOT-227B","0","25.87","0","1","Tube","HiPerFET™, Polar","Active","N-Channel","MOSFET (Metal Oxide)","100 V","200A (Tc)","10V","7.5mOhm @ 500mA, 10V","5V @ 8mA","235 nC @ 10 V","±20V","7600 pF @ 25 V","-","680W (Tc)","-55°C ~ 175°C (TJ)","Chassis Mount","SOT-227B","SOT-227-4, miniBLOC","-","-"
"https://epc.space/documents/datasheets/FBG10N30B-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4013/FBG10N30BC-%28primary%29.jpg","4107-FBG10N30BC-ND","FBG10N30BC","EPC Space, LLC","EPC Space","GAN FET HEMT100V30A COTS 4FSMD-B","164","264.74","0","1","Bulk","-","Active","N-Channel","GaNFET (Gallium Nitride)","100 V","30A (Tc)","5V","9mOhm @ 30A, 5V","2.5V @ 5mA","11 nC @ 5 V","+6V, -4V","1000 pF @ 50 V","-","-","-55°C ~ 150°C (TJ)","Surface Mount","4-SMD","4-SMD, No Lead","-","-"
"https://epc.space/documents/datasheets/EPC7018G-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5558/MFG_EPC7018GC_TOP.jpg","4107-EPC7018GC-ND","EPC7018GC","EPC Space, LLC","EPC Space","GAN FET HEMT 100V 90A COTS 5UB","185","291.46","0","1","Bulk","eGaN®","Active","N-Channel","GaNFET (Gallium Nitride)","100 V","80A (Tc)","5V","6mOhm @ 40A, 5V","2.5V @ 12mA","11.7 nC @ 5 V","+6V, -4V","1240 pF @ 50 V","-","-","-55°C ~ 150°C (TJ)","Surface Mount","5-SMD","5-SMD, No Lead","-","-"
"https://epc.space/documents/datasheets/EPC7018G-datasheet.pdf","-","4107-EPC7018GSH-ND","EPC7018GSH","EPC Space, LLC","EPC Space","GAN FET HEMT 100V 90A 5UB","22","412.19","0","1","Bulk","eGaN®","Active","N-Channel","GaNFET (Gallium Nitride)","100 V","80A (Tc)","5V","6mOhm @ 40A, 5V","2.5V @ 12mA","11.7 nC @ 5 V","+6V, -4V","1240 pF @ 50 V","-","-","-55°C ~ 150°C (TJ)","Surface Mount","5-SMD","5-SMD, No Lead","-","-"
"https://www.infineon.com/dgdl/irfs4310pbf.pdf?fileId=5546d462533600a40153563a0e2e21a7","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4310PBF-ND","IRFS4310PBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 130A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","130A (Tc)","10V","7mOhm @ 75A, 10V","4V @ 250µA","250 nC @ 10 V","±20V","7670 pF @ 50 V","-","300W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/irfs4310pbf.pdf?fileId=5546d462533600a40153563a0e2e21a7","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4310TRRPBF-ND","IRFS4310TRRPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 130A D2PAK","0","Discontinued at Digi-Key","0","0","Tape & Reel (TR)","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","130A (Tc)","10V","7mOhm @ 75A, 10V","4V @ 250µA","250 nC @ 10 V","±20V","7670 pF @ 50 V","-","300W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/irfb4410zpbf.pdf?fileId=5546d462533600a40153561644141e3a","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4410ZPBF-ND","IRFS4410ZPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 97A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","97A (Tc)","10V","9mOhm @ 58A, 10V","4V @ 150µA","120 nC @ 10 V","±20V","4820 pF @ 50 V","-","230W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/irfb4310zpbf.pdf?fileId=5546d462533600a4015356161b4d1e2d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4310ZPBF-ND","IRFS4310ZPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 120A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","120A (Tc)","10V","6mOhm @ 75A, 10V","4V @ 150µA","170 nC @ 10 V","±20V","6860 pF @ 50 V","-","250W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/irfs4010-7ppbf.pdf?fileId=5546d462533600a401535636c33c2185","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/D2Pak_TO-263_6leads.jpg","IRFS4010-7PPBF-ND","IRFS4010-7PPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 190A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","190A (Tc)","10V","4mOhm @ 110A, 10V","4V @ 250µA","230 nC @ 10 V","±20V","9830 pF @ 50 V","-","380W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-7, D2PAK (6 Leads + Tab), TO-263CB","-","-"
"https://www.infineon.com/dgdl/irfs4010pbf.pdf?fileId=5546d462533600a401535636cbd72187","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4010PBF-ND","IRFS4010PBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 180A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","180A (Tc)","10V","4.7mOhm @ 106A, 10V","4V @ 250µA","215 nC @ 10 V","±20V","9575 pF @ 50 V","-","375W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/irls4030-7ppbf.pdf?fileId=5546d462533600a401535671d8902713","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/D2Pak_TO-263_6leads.jpg","IRLS4030-7PPBF-ND","IRLS4030-7PPBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 190A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","190A (Tc)","4.5V, 10V","3.9mOhm @ 110A, 10V","2.5V @ 250µA","140 nC @ 4.5 V","±16V","11490 pF @ 50 V","-","370W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK (7-Lead)","TO-263-7, D2PAK (6 Leads + Tab), TO-263CB","-","-"
"https://www.infineon.com/dgdl/irls4030pbf.pdf?fileId=5546d462533600a401535671e1fd2715","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRLS4030PBF-ND","IRLS4030PBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 100V 180A D2PAK","0","Discontinued at Digi-Key","0","0","Tube","HEXFET®","Discontinued at Digi-Key","N-Channel","MOSFET (Metal Oxide)","100 V","180A (Tc)","4.5V, 10V","4.3mOhm @ 110A, 10V","2.5V @ 250µA","130 nC @ 4.5 V","±16V","11360 pF @ 50 V","-","370W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
