"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"2N7000-D75Z","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-92, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","5000, ","20, ","3, ","0.2, ","0.35, ","-, ","5300, ","-, ","-, ","60, ","-, ","-, ","25, ","5, ","TO-92-3 LF ","NA ","0 ","0.092 ",
"2N7000","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-92, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","5000, ","20, ","3, ","0.2, ","0.35, ","-, ","5300, ","-, ","-, ","60, ","-, ","-, ","25, ","5, ","TO-92-3 ","NA ","0 ","0.1163 ",
"2N7000-D26Z","Active"," Pb   ","N-Channel, ","PowerTrench® T1, ","TO-92, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","5000, ","20, ","3, ","0.2, ","0.35, ","-, ","5300, ","-, ","-, ","60, ","-, ","-, ","25, ","5, ","TO-92-3 LF ","NA ","0 ","0.0969 ",
"2N7002","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","7500, ","±20, ","2.5, ","0.115, ","0.2, ","-, ","7500, ","-, ","1, ","20, ","-, ","-, ","11, ","4, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.1064 ",
"2N7002DW","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SC-6, ","Small Signal, ","Logic, ","0, ","Dual, ","0, ","60, ","Q1=Q2=2000, ","±20, ","2, ","0.115, ","0.2, ","-, ","Q1=Q2=7500, ","-, ","-, ","37.8, ","-, ","-, ","12.4, ","6.5, ","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.0751 ",
"S2N7002ET1G","Active","H Pb A P ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","2500, ","20, ","2.5, ","0.31, ","0.042, ","-, ","3000, ","-, ","0.81, ","26.7, ","0.08, ","-, ","4.6, ","2.9, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0453 ",
"2N7002ET1G","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","2500, ","20, ","2.5, ","0.31, ","0.042, ","-, ","3000, ","-, ","0.81, ","26.7, ","0.08, ","-, ","4.6, ","2.9, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0236 ",
"2N7002ET7G","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","2500, ","20, ","2.5, ","0.31, ","0.042, ","~NA~, ","3000, ","~NA~, ","0.81, ","26.7, ","0.08, ","~NA~, ","4.6, ","2.9, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0207 ",
"2N7002KT1G","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Logic, ","0, ","Single, ","0, ","60, ","1600, ","20, ","2.3, ","0.38, ","0.42, ","-, ","2500, ","-, ","0.7, ","24.5, ","0.1, ","-, ","4.2, ","2.2, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0217 ",
"2N7002KT7G","Active","H Pb   ","N-Channel, ","PowerTrench® T1, ","SOT-23, ","Small Signal, ","Standard, ","0, ","Single, ","0, ","60, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","NA, ","-, ","-, ","-, ","-, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0217 ",
