"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","Vgs (V)","Vgs(th) Max (V)","ID Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"NVMFD5C470NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","40","11.5","±20","2.2","36","28","~NA~","17.8","4","9","590","1.6","9","200","8","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6626 ",
"NVMFD5C470NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","40","11.5","±20","2.2","36","28","~NA~","17.8","4","9","590","1.6","9","200","8","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6302 ",
"NVMFD5C478NWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Dual","0","40","17","±20","3.5","27","23","~NA~","~NA~","~NA~","6.3","325","~NA~","6","165","10","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6077 ",
"NVMFD5C478NT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Dual","0","40","17","±20","3.5","27","23","~NA~","~NA~","~NA~","6.3","325","~NA~","6","165","10","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6468 ",
"NVMFD5C478NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","40","14.5","±20","2.2","29","23","~NA~","25","~NA~","8.1","420","1.2","6","185","9","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6095 ",
"NVMFD5C478NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","40","14.5","±20","2.2","29","23","~NA~","25","~NA~","8.1","420","1.2","6","185","9","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6369 ",
"NVMFD5C650NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 4.2, Q2: 4.2","±20","2.2","125","125","-","Q1: 5.8, Q2: 5.8","4.7","37","2546","3.1","35","1258","17","SO-8FL Dual / DFN-8 ","1 ","260 ","2.0578 ",
"NVMFD5C650NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 4.2, Q2: 4.2","±20","2.2","125","125","-","Q1: 5.8, Q2: 5.8","4.7","37","2546","3.1","35","1258","17","SO-8FL Dual / DFN-8 ","1 ","260 ","1.964 ",
"NVMFD5C668NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","6.5","20","2","68","57.5","~NA~","9.2","9.8","21.3","1440","~NA~","32","800","14","SO-8FL Dual / DFN-8 ","1 ","260 ","1.3455 ",
"NVMFD5C668NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","6.5","20","2","68","3","~NA~","9.2","9.8","21.3","1440","~NA~","32","800","14","SO-8FL Dual / DFN-8 ","1 ","260 ","1.1493 ",
"NVMFD5C672NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 11.9, Q2: 11.9","±20","2.2","40","42","-","Q1: 16.8, Q2: 16.8","5.7","12.3","793","1.2","13","383","9","SO-8FL Dual / DFN-8 ","1 ","260 ","0.8722 ",
"NVMFD5C672NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 11.9, Q2: 11.9","±20","2.2","40","42","-","Q1: 16.8, Q2: 16.8","5.7","12.3","793","1.2","13","383","9","SO-8FL Dual / DFN-8 ","1 ","260 ","0.871 ",
"NVMFD5C674NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 14.4, Q2: 14.4","±20","2.2","42","37","-","Q1: 20.4, Q2: 20.4","4.7","10","640","1","11.2","313","7.7","SO-8FL Dual / DFN-8 ","1 ","260 ","0.7558 ",
"NVMFD5C674NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1: 14.4, Q2: 14.4","±20","2.2","42","37","-","Q1: 20.4, Q2: 20.4","4.7","10","640","1","11.2","313","7.7","SO-8FL Dual / DFN-8 ","1 ","260 ","0.7452 ",
"NVMFD5C680NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1=Q2=28","±20","2.2","19","19","-","Q1=Q2=41","11.5","5","350","0.8","7","150","2","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6429 ",
