"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"FDN327N","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","20","-","8","1.5","2","0.5","80","70","3.6","4.5","423","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1052 ",
"FDN335N","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","20","-","8","1.5","1.7","0.5","100","70","7","3.5","310","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1315 ",
"FDN336P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-20","-","8","-1.5","-1.3","0.5","270","200","4.4","3.6","330","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1284 ",
"FDN337N","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","30","65","8","1","2.2","0.5","-","92","7","7","300","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1493 ",
"FDN338P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-20","-","8","-1.5","-1.6","0.5","155","115","7.2","4.4","451","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1256 ",
"FDN339AN","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","20","-","8","1.5","3","0.5","50","35","6.3","7","700","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1435 ",
"FDN340P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-20","-","8","-1.5","-2","0.5","110","70","1.4","7.2","779","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1041 ",
"FDN342P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-20","-","12","-1.5","-2","0.5","130","80","4.2","6.3","635","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1848 ",
"FDN352AP","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-30","180","25","-2.5","-1.3","0.5","-","300","-","1.4","150","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1323 ",
"FDN357N","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","30","60","20","2","1.9","0.5","-","90","5","4.2","235","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1519 ",
"FDN358P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-30","125","20","-3","-1.5","0.5","-","200","5","4","182","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1472 ",
"FDN359AN","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","30","46","20","3","2.7","0.5","-","60","-","5","480","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1412 ",
"FDN359BN","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","30","46","20","3","2.7","0.5","-","60","1.3","5","485","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1396 ",
"FDN360P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-30","80","20","-3","-2","0.5","-","125","3","6.2","298","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1161 ",
"FDN537N","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","30","23","20","3","6.5","1.5","-","36","-","3","360","-","-","-","-","SOT-23-3 ","1 ","260 ","0.1985 ",
"FDN5618P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","-60","170","±20","-3","-1.25","0.5","-","230","-","8.6","430","1.3","-","52","19","SOT-23-3 ","1 ","260 ","0.1253 ",
"FDN5630","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","60","180","±20","3","1.7","0.5","-","-","-","7","400","1.2","-","65","27","SOT-23-3 ","1 ","260 ","0.1032 ",
"FDN5632N-F085","Active","H Pb A P ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","82","±20","3","1.6","1.1","-","98","-","9.2","475","1.4","7.9","60","30","SOT-23-3 ","1 ","260 ","0.3017 ",
"FDN8601","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","100","109","±20","4","2.7","1.5","-","-","-","1.8","156","0.8","15","47","2.7","SOT-23-3 ","1 ","260 ","0.3379 ",
"FDN86246","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","150","261","±20","4","1.6","1.5","-","-","-","1.6","168","0.8","29","21","1.6","SOT-23-3 ","1 ","260 ","0.4457 ",
"FDN86265P","Active","H Pb   ","P-Channel","PowerTrench® T1","SOT-23","Small Signal","Standard","0","Single","0","-150","1200","±25","-4","-0.8","1.5","-","-","-","2.9","158","0.8","70","17","1.6","SOT-23-3 ","1 ","260 ","0.348 ",
"FDN86501LZ","Active","H Pb   ","N-Channel","PowerTrench® T1","SOT-23","Small Signal","Logic","0","Single","0","60","116","±20","2.4","2.6","1.5","-","173","-","1.9","236","0.6","19","77","4.9","SOT-23-3 ","1 ","260 ","0.7705 ",
"FDP020N06B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","60","2","±20","4.5","313","333","-","-","-","206","16100","34","194","3840","127","TO-220-3 ","NA ","0 ","2.553 ",
"FDP023N08B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","75","2.35","±20","3.5","242","245","-","-","-","150","10350","31.7","114","1855","46.8","TO-220-3 ","NA ","0 ","1.5551 ",
"FDP025N06","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","60","2.5","±20","4.5","265","395","-","-","-","174","11190","50","152","1610","750","TO-220-3 ","NA ","0 ","2.0176 ",
"FDP027N08B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","80","2.7","±20","4.5","223","246","-","-","-","137","10170","28","112","1670","35","TO-220-3 ","NA ","0 ","1.3465 ",
"FDP030N06","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","60","3.2","±20","4.5","193","231","-","-","-","116","7380","35","50","1095","415","TO-220-3 ","NA ","0 ","1.9825 ",
