Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"https://assets.nexperia.com/documents/data-sheet/PSMN4R2-80YSE.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4454/MFG_Nexperia-SOT-1023.JPG","1727-PSMN4R2-80YSEXTR-ND,1727-PSMN4R2-80YSEXCT-ND,1727-PSMN4R2-80YSEXDKR-ND","PSMN4R2-80YSEX","Nexperia USA Inc.","Nexperia USA Inc.","PSMN4R2-80YSE/SOT1023/4 LEADS","1.197","3.32","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","170A (Tc)","10V","4.2mOhm @ 25A, 10V","3.6V @ 1mA","110 nC @ 10 V","±20V","8000 pF @ 40 V","-","294W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","LFPAK56, Power-SO8","SOT-1023, 4-LFPAK","-","-"
"https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2218A_datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5031/MFG_EPC2218A.jpg","917-EPC2218ATR-ND,917-EPC2218ACT-ND,917-EPC2218ADKR-ND","EPC2218A","EPC","EPC","TRANS GAN 80V .0032OHM AECQ101","22.418","3.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","eGaN®","Active","N-Channel","GaNFET (Gallium Nitride)","80 V","60A (Ta)","5V","3.2mOhm @ 25A, 5V","2.5V @ 7mA","13.6 nC @ 5 V","+6V, -4V","1570 pF @ 50 V","-","-","-40°C ~ 150°C (TJ)","Surface Mount","Die","Die","Automotive","AEC-Q101"
"https://www.infineon.com/dgdl/Infineon-BSC021N08NS5-DataSheet-v02_01-EN.pdf?fileId=5546d462689a790c0168c7cb2946643e","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/306/MFG_448%3B-P-PG-TSON-8-3%3B-%3B-8.jpg","448-BSC021N08NS5ATMA1TR-ND,448-BSC021N08NS5ATMA1CT-ND,448-BSC021N08NS5ATMA1DKR-ND","BSC021N08NS5ATMA1","Infineon Technologies","Infineon Technologies","MOSFET TRENCH 80V TSON-8","7.461","3.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™, StrongIRFET™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","100A (Tc)","6V, 10V","2.1mOhm @ 50A, 10V","3.8V @ 146µA","29 nC @ 10 V","±20V","8600 pF @ 40 V","-","214W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TSON-8-3","8-PowerTDFN","-","-"
"https://www.infineon.com/dgdl/IPP037N08N3_Rev2.1.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431add1d95011ae8426111565b","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IPB035N08N3GATMA1TR-ND,IPB035N08N3GATMA1CT-ND,IPB035N08N3GATMA1DKR-ND","IPB035N08N3GATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 100A D2PAK","1.941","3.86","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","100A (Tc)","6V, 10V","3.5mOhm @ 100A, 10V","3.5V @ 155µA","117 nC @ 10 V","±20V","8110 pF @ 40 V","-","214W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TO263-3","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.onsemi.com/pdf/datasheet/fdb024n08bl7-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4268/488%7E418AY%7E%7E6.JPG","FDB024N08BL7TR-ND,FDB024N08BL7CT-ND,FDB024N08BL7DKR-ND","FDB024N08BL7","onsemi","onsemi","MOSFET N-CH 80V 120A TO263-7","7.552","4.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PowerTrench®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","120A (Tc)","10V","2.4mOhm @ 100A, 10V","4.5V @ 250µA","178 nC @ 10 V","±20V","13530 pF @ 40 V","-","246W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TO-263-7","TO-263-7, D2PAK (6 Leads + Tab)","-","-"
"https://www.vishay.com/docs/71298/sqjq184er.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4274/MFG_PowerPAK-8X8LR.jpg","742-SQJQ184ER-T1_GE3TR-ND,742-SQJQ184ER-T1_GE3CT-ND,742-SQJQ184ER-T1_GE3DKR-ND","SQJQ184ER-T1_GE3","Vishay Siliconix","Vishay Siliconix","AUTOMOTIVE N-CHANNEL 80 V (D-S)","393","4.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","430A (Tc)","10V","1.4mOhm @ 20A, 10V","3.5V @ 250µA","240 nC @ 10 V","±20V","16009 pF @ 25 V","-","600W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PowerPAK® 8 x 8","8-PowerSMD, Gull Wing","Automotive","AEC-Q101"
"https://www.onsemi.com/pdf/datasheet/nvmfs6h800nl-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488%3B-488AA%3B-%3B-5.jpg","488-NVMFS6H800NLT1GTR-ND,488-NVMFS6H800NLT1GCT-ND,488-NVMFS6H800NLT1GDKR-ND","NVMFS6H800NLT1G","onsemi","onsemi","MOSFET N-CH 80V 30A/224A 5DFN","1.992","4.3","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","30A (Ta), 224A (Tc)","4.5V, 10V","1.9mOhm @ 50A, 10V","2V @ 330µA","112 nC @ 10 V","±20V","6900 pF @ 40 V","-","3.9W (Ta), 214W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","5-DFN (5x6) (8-SOFL)","8-PowerTDFN, 5 Leads","Automotive","AEC-Q101"
"https://www.infineon.com/dgdl/Infineon-BSC023N08NS5SC-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c83cd30810183d4ef7ab40f0d","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4113/MFG_BSC023N08NS5SCATMA1.jpg","448-BSC023N08NS5SCATMA1TR-ND,448-BSC023N08NS5SCATMA1CT-ND,448-BSC023N08NS5SCATMA1DKR-ND","BSC023N08NS5SCATMA1","Infineon Technologies","Infineon Technologies","TRENCH 40<-<100V","3.737","4.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™ 5","Active","N-Channel","MOSFET (Metal Oxide)","80 V","202A (Tc)","6V, 10V","2.3mOhm @ 50A, 10V","3.8V @ 115µA","98 nC @ 10 V","±20V","6800 pF @ 40 V","-","188W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-WSON-8-2","8-PowerWDFN","-","-"
"https://www.onsemi.com/pdf/datasheet/fdbl0150n80-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2097/261; MKT-PSOF08AREV3; ; 8.jpg","FDBL0150N80TR-ND,FDBL0150N80CT-ND,FDBL0150N80DKR-ND","FDBL0150N80","onsemi","onsemi","MOSFET N-CH 80V 300A 8HPSOF","3.386","4.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PowerTrench®","Active","N-Channel","MOSFET (Metal Oxide)","80 V","300A (Tc)","10V","1.4mOhm @ 80A, 10V","4V @ 250µA","188 nC @ 10 V","±20V","12800 pF @ 25 V","-","429W (Tj)","-55°C ~ 175°C (TJ)","Surface Mount","8-HPSOF","8-PowerSFN","-","-"
"https://www.onsemi.com/pdf/datasheet/nvmfs6h800n-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4955/488;-488AA;-;-5.jpg","NVMFS6H800NT1GOSTR-ND,NVMFS6H800NT1GOSCT-ND,NVMFS6H800NT1GOSDKR-ND","NVMFS6H800NT1G","onsemi","onsemi","MOSFET N-CH 80V 28A/203A 5DFN","1.654","4.55","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","28A (Ta), 203A (Tc)","10V","2.1mOhm @ 50A, 10V","4V @ 330µA","85 nC @ 10 V","±20V","5530 pF @ 40 V","-","3.8W (Ta), 200W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","5-DFN (5x6) (8-SOFL)","8-PowerTDFN, 5 Leads","Automotive","AEC-Q101"
"https://www.infineon.com/dgdl/Infineon-IAUT300N08S5N012-DS-v01_00-EN.pdf?fileId=5546d46258fc0bc10158fdabe0f90580","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2417/448%3B-P%5EPG-HPSOF-8-1%3B-%3B-8%28bottom%29.jpg","IAUT300N08S5N012ATMA2TR-ND,IAUT300N08S5N012ATMA2CT-ND,IAUT300N08S5N012ATMA2DKR-ND","IAUT300N08S5N012ATMA2","Infineon Technologies","Infineon Technologies","MOSFET N-CH 80V 300A 8HSOF","2.714","4.82","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","OptiMOS™","Active","N-Channel","MOSFET (Metal Oxide)","80 V","300A (Tc)","6V, 10V","1.2mOhm @ 100A, 10V","3.8V @ 275µA","231 nC @ 10 V","±20V","16250 pF @ 40 V","-","375W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-HSOF-8-1","8-PowerSFN","-","-"
"https://www.onsemi.com/pdf/datasheet/nvmtsc1d3n08m7-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4117/MFG_NVMTSC1D3N08M7TXG.jpg","488-NVMTSC1D3N08M7TXGTR-ND,488-NVMTSC1D3N08M7TXGCT-ND,488-NVMTSC1D3N08M7TXGDKR-ND","NVMTSC1D3N08M7TXG","onsemi","onsemi","MOSFET N-CH 80V 46A/348A 8DFNW","2.718","5.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","80 V","46A (Ta), 348A (Tc)","10V","1.25mOhm @ 80A, 10V","4V @ 250µA","196 nC @ 10 V","±20V","14530 pF @ 40 V","-","5.1W (Ta), 287W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","8-DFNW (8.3x8.4)","8-PowerTDFN","Automotive","AEC-Q101"
