Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
IRFU7740,https://www.infineon.com/part/IRFU7740,,,,,,Standard,75 V,87 A,StrongIRFET™,2.9 V,7.2 mΩ,84 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfr7740-datasheet-en.pdf,2.1 V,3.7 V,,,,
IRFU7746,https://www.infineon.com/part/IRFU7746,,,,,,Standard,75 V,59 A,StrongIRFET™,2.9 V,11.2 mΩ,59 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfr7746-datasheet-en.pdf,2.1 V,3.7 V,,,,
IRFZ24NS,https://www.infineon.com/part/IRFZ24NS,,,,,,Standard,55 V,,Planar Mosfet,,70 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irfz24ns-datasheet-en.pdf,,,,,,
IRFZ44EL,https://www.infineon.com/part/IRFZ44EL,,,,,,Non-Automotive,60 V,,Planar Mosfet,,23 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfz44es-datasheet-en.pdf,,,,,,
IRFZ46NS,https://www.infineon.com/part/IRFZ46NS,,,,,,Standard,55 V,53 A,IR MOSFET™,3 V,16.5 mΩ,48 nC,0.6 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfz46ns-datasheet-en.pdf,2 V,4 V,,,,
IRFZ46Z,https://www.infineon.com/part/IRFZ46Z,,,,,,Standard,55 V,,Trench Mosfet,,13.6 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfz46z-datasheet-en.pdf,,,,,,
IRFZ48VS,https://www.infineon.com/part/IRFZ48VS,,,,,,Non-Automotive,60 V,,Planar Mosfet,,12 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irfz48vspbf.pdf,,,,,,
IRFZ48ZS,https://www.infineon.com/part/IRFZ48ZS,,,,,,Non-Automotive,55 V,,Trench Mosfet,,11 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irfz48zpbf.pdf,,,,,,
IRL1004S,https://www.infineon.com/part/IRL1004S,,,,,,Non-Automotive,40 V,,Planar Mosfet,,6.5 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl1004s-datasheet-en.pdf,,,9 mΩ,,,
IRL1404,https://www.infineon.com/part/IRL1404,,,,,,Standard,40 V,160 A,IR MOSFET™,2 V,4 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl1404-datasheet-en.pdf,1 V,3 V,,93.3 nC,,
