Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,Polarity,Datasheet link,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IPW65R045C7,https://www.infineon.com/part/IPW65R045C7,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R045C7FKSA1,PG-TO247-3,TO247,Industrial,650 V,46 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r045c7-ds-en.pdf,3.5 V,3 V,4 V,45 mΩ,93 nC,4.89 ,,,,
IPP65R420CFD,https://www.infineon.com/part/IPP65R420CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R420CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,8.7 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r420cfd-datasheet-en.pdf,4 V,3.5 V,4.5 V,420 mΩ,32 nC,0.68 ,,,,
IPA60R190P6,https://www.infineon.com/part/IPA60R190P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R190P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,9.5 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r190p6-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,37 nC,0.84 ,,,,
IPW65R065C7,https://www.infineon.com/part/IPW65R065C7,https://www.infineon.com/package/PG-TO247-3-44,active,IPW65R065C7XKSA1,PG-TO247-3,TO247,Industrial,650 V,33 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r065c7-ds-en.pdf,3.5 V,3 V,4 V,65 mΩ,64 nC,3.44 ,,,,
IPA60R125P6,https://www.infineon.com/part/IPA60R125P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R125P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,30 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r125p6-ds-en-09018a9080012004.pdf,4 V,3.5 V,4.5 V,125 mΩ,56 nC,1.39 ,,,,
IPA60R099P6,https://www.infineon.com/part/IPA60R099P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R099P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,37.9 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa60r099p6-ds-en.pdf,4 V,3.5 V,4.5 V,99 mΩ,70 nC,1.84 ,,,,
IPA50R140CP,https://www.infineon.com/part/IPA50R140CP,https://www.infineon.com/package/PG-TO220-3-111,active,IPA50R140CPXKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,500 V,23 A,CoolMOS™ CP,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r140cp-ds-en.pdf,,2.5 V,3.5 V,,48 nC,1.54 ,,,,
SPP08N80C3,https://www.infineon.com/part/SPP08N80C3,https://www.infineon.com/package/PG-TO220-3-1,active,SPP08N80C3XKSA1,PG-TO220-3,TO220,Industrial,800 V,8 A,CoolMOS™ C3,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spp08n80c3-ds-en.pdf,3 V,2.1 V,3.9 V,650 mΩ,40 nC,0.83 ,,,,
IPB65R110CFD,https://www.infineon.com/part/IPB65R110CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R110CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,31.2 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,4 V,3.5 V,4.5 V,110 mΩ,118 nC,2.25 ,,,,
IPP65R225C7,https://www.infineon.com/part/IPP65R225C7,https://www.infineon.com/package/PG-TO220-3-1,active,IPP65R225C7XKSA1,PG-TO220-3,TO220,Industrial,650 V,11 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp65r225c7-ds-en.pdf,3.5 V,3 V,4 V,225 mΩ,20 nC,0.91 ,,,,
