"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"2SJ168","Datasheet","P-ch MOSFET, -60 V, -0.2 A, 2.0 Ω@10V, SOT-346(S-Mini)","","P-ch","-60","+/-20","-0.2","0.2","73","","","","","","","","","","","","","2.0","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","-10V Gate Drive"
"2SJ305","Datasheet","P-ch MOSFET, -30 V, -0.2 A, 4.0 Ω@2.5V, SOT-346(S-Mini)","","P-ch","-30","+/-20","-0.2","0.2","92","","","","","","","","4.0","","","","","","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"2SK1062","Datasheet","N-ch MOSFET, 60 V, 0.2 A, 1 Ω@10V, SOT-346(S-Mini)","","N-ch","","+/-20","0.2","","","","","","","","","","","","","","","1","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25",""
"2SK2009","Datasheet","N-ch MOSFET, 30 V, 0.2 A, 2.0 Ω@2.5V, SOT-346(S-Mini)","","N-ch","30","+/-20","0.2","0.2","70","","","","","","","","2.0","","","","","","","3","Y","SOT-346 (S-Mini)","","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM10N954L","Datasheet","N-ch x 2 Common-drain MOSFET, 12 V, 13.5 A, 0.00275 Ω@4.5V, TCSPAC-153001","","N-ch x 2","","+/-8","","0.8","","","","","","","","","","","","","","","","10","Y","TCSPAC-153001","U-MOSⅧ-R","","2.98 x 1.49 x 0.11","4.44","Low Voltage Gate Drive"
"SSM10N961L","Datasheet","N-ch x 2 Common-drain MOSFET, 30 V, 14.0 A, 9.9 mΩ@10 V, TCSPAG-341501","","N-ch x 2","","+/-20","","1.51","","","","","","","","","","","","","","","","10","Y","TCSPAG-341501","U-MOSⅧ-H","","3.37 x 1.47 x 0.11","4.95","Low Voltage Gate Drive"
"SSM14N956L","Datasheet","N-ch x 2 Common-drain MOSFET, 12 V, 20 A, 1.35 mΩ@4.5V, TCSPED-302701","","N-ch x 2","","+/-8","","1.33","","","","","","","","","","","","","","","","14","Y","TCSPED-302701","U-MOSⅧ-R","","3.0 x 2.74 x 0.085","8.22","Low Voltage Gate Drive"
"SSM3H137TU","Datasheet","N-ch MOSFET + Active Clamp Zener, 34 V, 2.0 A, 0.24 Ω@10V, SOT-323F(UFM)","","N-ch + Active Clamp Zener","34","+/-20","2.0","0.8","119","3.0","","","","","","","","0.295","0.28","","","0.24","","3","Y","SOT-323F (UFM)","U-MOSⅣ","Built-in Active Clamp Zener","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J112TU","Datasheet","P-ch MOSFET, -30 V, -1.1 A, 0.39 Ω@10V, SOT-323F(UFM)","","P-ch","-30","+/-20","-1.1","0.5","86","","","","","","","","","0.79","","","","0.39","","3","Y","SOT-323F (UFM)","U-MOSⅡ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J117TU","Datasheet","P-ch MOSFET, -30 V, -2.0 A, 0.117 Ω@10V, SOT-323F(UFM)","","P-ch","-30","+/-20","-2.0","0.5","280","","","","","","","","","0.225","","","","0.117","","3","Y","SOT-323F (UFM)","U-MOSⅡ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J118TU","Datasheet","P-ch MOSFET, -30 V, -1.4 A, 0.24 Ω@10V, SOT-323F(UFM)","","P-ch","-30","+/-20","-1.4","0.5","137","","","","","","","","","0.48","","","","0.24","","3","Y","SOT-323F (UFM)","U-MOSⅡ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3J130TU","Datasheet","P-ch MOSFET, -20 V, -4.4 A, 0.0258 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+/-8","-4.4","0.5","1800","24.8","","","","","0.0632","0.0411","0.031","","0.0258","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J132TU","Datasheet","P-ch MOSFET, -12 V, -5.4 A, 0.017 Ω@4.5V, SOT-323F(UFM)","","P-ch","-12","+/-6","-5.4","0.5","2700","33","","","","0.094","0.039","0.029","0.021","","0.017","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J133TU","Datasheet","P-ch MOSFET, -20 V, -5.5 A, 0.0298 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+/-8","-5.5","0.5","840","12.8","","","","","0.0884","0.056","0.0397","","0.0298","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J134TU","Datasheet","P-ch MOSFET, -20 V, -3.2 A, 0.093 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+/-8","-3.2","0.5","290","4.7","","","","","0.24","0.168","0.123","","0.093","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J135TU","Datasheet","P-ch MOSFET, -20 V, -3.0 A, 0.103 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+/-8","-3.0","0.5","270","4.6","","","","","0.26","0.18","0.132","","0.103","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J140TU","Datasheet","P-ch MOSFET, -20 V, -4.4 A, 0.0258 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+6/-8","-4.4","0.5","1800","24.8","","","","","0.0632","0.0411","0.031","","0.0258","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J143TU","Datasheet","P-ch MOSFET, -20 V, -5.5 A, 0.0298 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+6/-8","-5.5","0.5","840","12.8","","","","","0.0884","0.056","0.0397","","0.0298","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J144TU","Datasheet","P-ch MOSFET, -20 V, -3.2 A, 0.093 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+6/-8","-3.2","0.5","290","4.7","","","","","0.24","0.168","0.123","","0.093","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J145TU","Datasheet","P-ch MOSFET, -20 V, -3.0 A, 0.103 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+6/-8","-3.0","0.5","270","4.6","","","","","0.26","0.18","0.132","","0.103","","","","","3","Y","SOT-323F (UFM)","U-MOSⅥ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J15CT","Datasheet","P-ch MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-883(CST3)","","P-ch","-30","+/-20","-0.1","0.1","9.1","","","","","","","","32","12","","","","","","3","Y","SOT-883 (CST3)","π-MOSⅥ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
"SSM3J15F","Datasheet","P-ch MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-346(S-Mini)","","P-ch","-30","+/-20","-0.1","0.2","9.1","","","","","","","","32","12","","","","","","3","Y","SOT-346 (S-Mini)","π-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM3J15FS","Datasheet","P-ch MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-416(SSM)","","P-ch","-30","+/-20","-0.1","0.1","9.1","","","","","","","","32","12","","","","","","3","Y","SOT-416 (SSM)","π-MOSⅥ","","1.6 x 1.6 x 0.7","2.56","Low Voltage Gate Drive"
"SSM3J15FU","Datasheet","P-ch MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-323(USM)","","P-ch","-30","+/-20","-0.1","0.15","9.1","","","","","","","","32","12","","","","","","3","Y","SOT-323 (USM)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM3J15FV","Datasheet","P-ch MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-723(VESM)","","P-ch","-30","+/-20","-0.1","0.15","9.1","","","","","","","","32","12","","","","","","3","Y","SOT-723 (VESM)","π-MOSⅥ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3J168F","Datasheet","P-ch MOSFET, -60 V, -0.4 A, 1.55 Ω@10V, SOT-346(S-Mini)","","P-ch","-60","+10/-20","-0.4","0.6","82","3.0","","","","","","","","2.0","1.9","","","1.55","","3","Y","SOT-346 (S-Mini)","U-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Logic-Level Gate Drive"
"SSM3J16CT","Datasheet","P-ch MOSFET, -0.1 A, 45 Ω@1.5V, SOT-883(CST3)","","P-ch","","+/-10","-0.1","","","","","","","","45","","","","","","","","","3","Y","SOT-883 (CST3)","π-MOSⅥ","","1.0 x 0.6 x 0.38","0.60",""
"SSM3J325F","Datasheet","P-ch MOSFET, -20 V, -2.0 A, 0.15 Ω@4.5V, SOT-346(S-Mini)","","P-ch","-20","+/-8","-2.0","0.6","270","4.6","","","","","0.311","0.231","0.179","","0.15","","","","","3","Y","SOT-346 (S-Mini)","U-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM3J327R","Datasheet","P-ch MOSFET, -20 V, -3.9 A, 0.093 Ω@4.5V, SOT-23F","","P-ch","-20","+/-8","-3.9","1.0","290","4.6","","","","","0.24","0.168","0.123","","0.093","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J328R","Datasheet","P-ch MOSFET, -20 V, -6.0 A, 0.0298 Ω@4.5V, SOT-23F","","P-ch","-20","+/-8","-6.0","1.0","840","12.8","","","","","0.0884","0.056","0.0397","","0.0298","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J331R","Datasheet","P-ch MOSFET, -20 V, -4.0 A, 0.055 Ω@4.5V, SOT-23F","","P-ch","-20","+/-8","-4.0","1.0","630","10.4","","","","","0.15","0.1","0.075","","0.055","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J332R","Datasheet","P-ch MOSFET, -30 V, -6.0 A, 0.042 Ω@10V, SOT-23F","","P-ch","-30","+/-12","-6.0","1.0","560","8.2","","","","","","0.144","0.072","","0.05","","","0.042","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J334R","Datasheet","P-ch MOSFET, -30 V, -4.0 A, 0.071 Ω@10V, SOT-23F","","P-ch","-30","+/-20","-4.0","1.0","280","5.9","","","","","","","","0.136","0.105","","","0.071","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Logic-Level Gate Drive"
"SSM3J338R","Datasheet","P-ch MOSFET, -12 V, -6.0 A, 0.0202 Ω@4.5V, SOT-23F","","P-ch","-12","+/-10","-6.0","1.0","1400","19.5","","","","","","0.0453","0.0279","","0.0202","","0.0176","","","3","Y","SOT-23F","U-MOSⅦ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J340R","Datasheet","P-ch MOSFET, -30 V, -4.0 A, 0.045 Ω@10V, SOT-23F","","P-ch","-30","+20/-25","-4.0","1.0","492","6.2","","","","","","","","0.086","0.073","","","0.045","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Logic-Level Gate Drive"
"SSM3J351R","Datasheet","P-ch MOSFET, -60 V, -3.5 A, 0.134 Ω@10V, SOT-23F","","P-ch","-60","+10/-20","-3.5","1.0","660","15.1","","","","","","","","0.184","0.164","","","0.134","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Logic-Level Gate Drive"
"SSM3J352F","Datasheet","P-ch MOSFET, -20 V, -2.0 A, 0.11 Ω@10V, SOT-346(S-Mini)","","P-ch","-20","+/-12","-2.0","0.6","210","5.1","","","","","","0.443","0.199","","0.136","","","0.11","","3","Y","SOT-346 (S-Mini)","U-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM3J353F","Datasheet","P-ch MOSFET, -30 V, -2.0 A, 0.15 Ω@10V, SOT-346(S-Mini)","","P-ch","-30","+20/-25","-2.0","0.6","159","3.4","","","","","","","","0.274","0.232","","","0.15","","3","Y","SOT-346 (S-Mini)","U-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Logic-Level Gate Drive"
"SSM3J355R","Datasheet","P-ch MOSFET, -20 V, -6.0 A, 0.0301 Ω@4.5V, SOT-23F","","P-ch","-20","+/-10","-6.0","1.0","1030","16.6","","","","","","0.0523","0.0388","","0.0301","","","","","3","Y","SOT-23F","U-MOSⅦ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J356R","Datasheet","P-ch MOSFET, -60 V, -2.0 A, 0.3 Ω@10V, SOT-23F","","P-ch","-60","+10/-20","-2.0","1.0","330","8.3","","","","","","","","0.4","0.36","","","0.3","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Logic-Level Gate Drive"
"SSM3J358R","Datasheet","P-ch MOSFET, -20 V, -6.0 A, 0.0253 Ω@4.5V, SOT-23F","","P-ch","-20","+/-10","-6.0","1.0","1331","38.5","","","","","","0.0493","0.0328","","0.0253","","0.0221","","","3","Y","SOT-23F","U-MOSⅦ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J35AFS","Datasheet","P-ch MOSFET, -20 V, -0.25 A, 1.4 Ω@4.5V, SOT-416(SSM)","","P-ch","-20","+/-10","-0.25","0.15","21","","","","","20","4.0","2.9","2.1","","1.4","","","","","3","Y","SOT-416 (SSM)","U-MOSⅦ","","1.6 x 1.6 x 0.7","2.56","Low Voltage Gate Drive"
"SSM3J35AMFV","Datasheet","P-ch MOSFET, -20 V, -0.25 A, 1.4 Ω@4.5V, SOT-723(VESM)","","P-ch","-20","+/-10","-0.25","0.5","21","","","","","20","4.0","2.9","2.1","","1.4","","","","","3","Y","SOT-723 (VESM)","U-MOSⅦ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3J35CT","Datasheet","P-ch MOSFET, -20 V, -0.1 A, 8.0 Ω@4V, SOT-883(CST3)","","P-ch","-20","+/-10","-0.1","0.1","12.2","","","","","44","22","","11","8.0","","","","","","3","Y","SOT-883 (CST3)","π-MOSⅥ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
"SSM3J35CTC","Datasheet","P-ch MOSFET, -20 V, -0.25 A, 1.4 Ω@4.5V, CST3C","","P-ch","-20","+/-10","-0.25","0.5","21","","","","","20","4.0","2.9","2.1","","1.4","","","","","3","Y","CST3C","U-MOSⅦ","","0.8 x 0.6 x 0.38","0.48","Low Voltage Gate Drive"
"SSM3J35FS","Datasheet","P-ch MOSFET, -20 V, -0.1 A, 8.0 Ω@4V, SOT-416(SSM)","","P-ch","-20","+/-10","-0.1","0.1","12.2","","","","","44","22","","11","8.0","","","","","","3","Y","SOT-416 (SSM)","π-MOSⅥ","","1.6 x 1.6 x 0.7","2.56","Low Voltage Gate Drive"
"SSM3J35MFV","Datasheet","P-ch MOSFET, -20 V, -0.1 A, 8.0 Ω@4V, SOT-723(VESM)","","P-ch","-20","+/-10","-0.1","0.15","12.2","","","","","44","22","","11","8.0","","","","","","3","Y","SOT-723 (VESM)","π-MOSⅥ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3J36FS","Datasheet","P-ch MOSFET, -20 V, -0.33 A, 1.31 Ω@4.5V, SOT-416(SSM)","","P-ch","-20","+/-8","-0.33","0.15","43","1.2","","","","","3.6","2.7","","","1.31","","","","","3","Y","SOT-416 (SSM)","U-MOSⅢ","","1.6 x 1.6 x 0.7","2.56","Low Voltage Gate Drive"
"SSM3J36MFV","Datasheet","P-ch MOSFET, -0.33 A, 1.31 Ω@4.5V, SOT-723(VESM)","","P-ch","","+/-8","-0.33","","43","","","","","","3.6","2.7","","","1.31","","","","","3","Y","SOT-723 (VESM)","","","1.2 x 1.2 x 0.5","1.44",""
"SSM3J36TU","Datasheet","P-ch MOSFET, -20 V, -0.33 A, 1.31 Ω@4.5V, SOT-323F(UFM)","","P-ch","-20","+/-8","-0.33","0.5","43","1.2","","","","","3.6","2.7","","","1.31","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3J371R","Datasheet","P-ch MOSFET, -20 V, -4.0 A, 0.055 Ω@4.5V, SOT-23F","","P-ch","-20","+6/-8","-4.0","1.0","630","10.4","","","","","0.15","0.1","0.075","","0.055","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J372R","Datasheet","P-ch MOSFET, -30 V, -6.0 A, 0.042 Ω@10V, SOT-23F","","P-ch","-30","+6/-12","-6.0","1.0","560","8.2","","","","","","0.144","0.072","","0.05","","","0.042","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J374R","Datasheet","P-ch MOSFET, -30 V, -4.0 A, 0.071 Ω@10V, SOT-23F","","P-ch","-30","+10/-20","-4.0","1.0","280","5.9","","","","","","","","0.136","0.105","","","0.071","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Logic-Level Gate Drive"
"SSM3J375F","Datasheet","P-ch MOSFET, -20 V, -2.0 A, 0.15 Ω@4.5V, SOT-346(S-Mini)","","P-ch","-20","+6/-8","-2.0","0.6","270","4.6","","","","","0.311","0.231","0.179","","0.15","","","","","3","Y","SOT-346 (S-Mini)","U-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM3J377R","Datasheet","P-ch MOSFET, -20 V, -3.9 A, 0.093 Ω@4.5V, SOT-23F","","P-ch","-20","+6/-8","-3.9","1.0","290","4.6","","","","","0.24","0.168","0.123","","0.093","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J378R","Datasheet","P-ch MOSFET, -20 V, -6.0 A, 0.0298 Ω@4.5V, SOT-23F","","P-ch","-20","+6/-8","-6.0","1.0","840","12.8","","","","","0.0884","0.056","0.0397","","0.0298","","","","","3","Y","SOT-23F","U-MOSⅥ","","2.9 x 2.4 x 0.8","6.96","Low Voltage Gate Drive"
"SSM3J56ACT","Datasheet","P-ch MOSFET, -20 V, -1.4 A, 0.39 Ω@4.5V, SOT-883(CST3)","","P-ch","-20","+/-8","-1.4","0.5","100","1.6","","","","4.0","0.9","0.66","0.48","","0.39","","","","","3","Y","SOT-883 (CST3)","U-MOSⅥ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
"SSM3J56MFV","Datasheet","P-ch MOSFET, -20 V, -0.8 A, 0.39 Ω@4.5V, SOT-723(VESM)","","P-ch","-20","+/-8","-0.8","0.15","100","1.6","","","","4.0","0.9","0.66","0.48","","0.39","","","","","3","Y","SOT-723 (VESM)","U-MOSⅥ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3J64CTC","Datasheet","P-ch MOSFET, -12 V, -1.0 A, 0.37 Ω@4.5V, CST3C","","P-ch","-12","+/-10","-1.0","0.5","50","","","","","11.3","1.31","0.89","0.56","","0.37","","","","","3","Y","CST3C","U-MOSⅦ","","0.8 x 0.6 x 0.38","0.48","Low Voltage Gate Drive"
"SSM3J65CT","Datasheet","P-ch MOSFET, -20 V, -0.7 A, 0.5 Ω@4.5V, CST3","","P-ch","-20","+/-10","-0.7","0.5","48","","","","","11.3","1.55","1.07","0.7","","0.5","","","","","3","Y","SOT-883 (CST3)","U-MOSⅦ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
"SSM3J65CTC","Datasheet","P-ch MOSFET, -20 V, -0.7 A, 0.5 Ω@4.5V, CST3C","","P-ch","-20","+/-10","-0.7","0.5","48","","","","","11.3","1.55","1.07","0.7","","0.5","","","","","3","Y","CST3C","U-MOSⅦ","","0.8 x 0.6 x 0.38","0.48","Low Voltage Gate Drive"
"SSM3J66MFV","Datasheet","P-ch MOSFET, -20 V, -0.8 A, 0.39 Ω@4.5V, SOT-723(VESM)","","P-ch","-20","+6/-8","-0.8","0.15","100","1.6","","","","4.0","0.9","0.66","0.48","","0.39","","","","","3","Y","SOT-723 (VESM)","U-MOSⅥ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3K09FU","Datasheet","N-ch MOSFET, 30 V, 0.4 A, 0.7 Ω@10V, SOT-323(USM)","","N-ch","30","+/-20","0.4","0.15","20","","","","","","","","","1.2","","","","0.7","","3","Y","SOT-323 (USM)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM3K116TU","Datasheet","N-ch MOSFET, 30 V, 2.2 A, 0.1 Ω@4.5V, SOT-323F(UFM)","","N-ch","30","+/-12","2.2","0.5","245","","","","","","","","0.135","","0.1","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3K121TU","Datasheet","N-ch MOSFET, 20 V, 3.2 A, 0.048 Ω@4V, SOT-323F(UFM)","","N-ch","20","+/-10","3.2","0.5","400","5.9","","","","","0.14","0.093","0.063","0.048","","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3K122TU","Datasheet","N-ch MOSFET, 20 V, 2.0 A, 0.123 Ω@4V, SOT-323F(UFM)","","N-ch","20","+/-10","2.0","0.5","195","3.4","","","","","0.304","0.211","0.161","0.123","","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3K123TU","Datasheet","N-ch MOSFET, 20 V, 4.2 A, 0.028 Ω@4V, SOT-323F(UFM)","","N-ch","20","+/-10","4.2","0.5","1010","13.6","","","","","0.066","0.043","0.032","0.028","","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3K127TU","Datasheet","N-ch MOSFET, 30 V, 2.0 A, 0.123 Ω@4V, SOT-323F(UFM)","","N-ch","30","+/-12","2.0","0.5","123","1.5","","","","","","0.286","0.167","0.123","","","","","","3","Y","SOT-323F (UFM)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM3K131TU","Datasheet","N-ch MOSFET, 30 V, 6.0 A, 0.0276 Ω@10V, SOT-323F(UFM)","","N-ch","30","+/-20","6.0","0.5","450","10.1","","","","","","","","","0.0415","","","0.0276","","3","Y","SOT-323F (UFM)","U-MOSⅣ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM3K15ACT","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-883(CST3)","","N-ch","30","+/-20","0.1","0.1","13.5","","","","","","","","6.0","3.6","","","","","","3","Y","SOT-883 (CST3)","U-MOSⅢ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
"SSM3K15ACTC","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, CST3C","","N-ch","30","+/-20","0.1","0.5","13.5","","","","","","","","6.0","3.6","","","","","","3","Y","CST3C","U-MOSⅢ","","0.8 x 0.6 x 0.38","0.48","Low Voltage Gate Drive"
"SSM3K15AFS","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-416(SSM)","","N-ch","30","+/-20","0.1","0.1","13.5","","","","","","","","6.0","3.6","","","","","","3","Y","SOT-416 (SSM)","U-MOSⅢ","","1.6 x 1.6 x 0.7","2.56","Low Voltage Gate Drive"
"SSM3K15AFU","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-323(USM)","","N-ch","30","+/-20","0.1","0.15","13.5","","","","","","","","6.0","3.6","","","","","","3","Y","SOT-323 (USM)","U-MOSⅢ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM3K15AMFV","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-723(VESM)","","N-ch","30","+/-20","0.1","0.15","13.5","","","","","","","","6.0","3.6","","","","","","3","Y","SOT-723 (VESM)","U-MOSⅢ","","1.2 x 1.2 x 0.5","1.44","Low Voltage Gate Drive"
"SSM3K15CT","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 4 Ω@4V, SOT-883(CST3)","","N-ch","","+/-20","0.1","","","","","","","","","","7","","","","","","","3","Y","SOT-883 (CST3)","π-MOSⅥ","","1.0 x 0.6 x 0.38","0.60",""
"SSM3K15F","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 4.0 Ω@4V, SOT-346(S-Mini)","","N-ch","30","+/-20","0.1","0.2","7.8","","","","","","","","7.0","4.0","","","","","","3","Y","SOT-346 (S-Mini)","π-MOSⅥ","","2.9 x 2.5 x 1.1","7.25","Low Voltage Gate Drive"
"SSM3K15FS","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 4 Ω@4V, SOT-416(SSM)","","N-ch","","+/-20","0.1","","","","","","","","","","7","","","","","","","3","Y","SOT-416 (SSM)","π-MOSⅥ","","1.6 x 1.6 x 0.7","2.56",""
"SSM3K15FU","Datasheet","N-ch MOSFET, 30 V, 0.1 A, 4.0 Ω@4V, SOT-323(USM)","","N-ch","30","+/-20","0.1","0.15","7.8","","","","","","","","7.0","4.0","","","","","","3","Y","SOT-323 (USM)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM3K16CT","Datasheet","N-ch MOSFET, 20 V, 0.1 A, 3.0 Ω@4V, SOT-883(CST3)","","N-ch","20","+/-10","0.1","0.1","9.3","","","","","","15","","4.0","3.0","","","","","","3","Y","SOT-883 (CST3)","π-MOSⅥ","","1.0 x 0.6 x 0.38","0.60","Low Voltage Gate Drive"
