"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"TK22A65X","Datasheet","N-ch MOSFET, 650 V, 0.15 Ω@10V, TO-220SIS, DTMOSⅣ-H","","N-ch","650","+/-30","22","45","2400","50","","380","4500","","","","","","","","","0.15","","3","N","TO-220SIS","DTMOSⅣ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK22A65X5","Datasheet","N-ch MOSFET, 650 V, 0.16 Ω@10V, TO-220SIS, DTMOSⅣ-H","","N-ch","650","+/-30","22","45","2400","50","","110","600","","","","","","","","","0.16","","3","N","TO-220SIS","DTMOSⅣ-H","High-speed switching / High-speed diode","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK22E10N1","Datasheet","N-ch MOSFET, 100 V, 0.0138 Ω@10V, TO-220, U-MOSⅧ-H","","N-ch","100","+/-20","52","72","1800","28","","54","94","","","","","","","","","0.0138","","3","N","TO-220","U-MOSⅧ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK22V65X5","Datasheet","N-ch MOSFET, 650 V, 0.17 Ω@10V, DFN 8 x 8, DTMOSⅣ-H","","N-ch","650","+/-30","22","180","2400","50","","110","600","","","","","","","","","0.17","","5","Y","DFN 8 x 8","DTMOSⅣ-H","High-speed switching / High-speed diode","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK25A20D","Datasheet","N-ch MOSFET, 200 V, 0.07 Ω@10V, TO-220SIS, π-MOSⅦ","","N-ch","200","+/-20","25","45","2550","60","","195","1600","","","","","","","","","0.07","","3","N","TO-220SIS","π-MOSⅦ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK25A60X","Datasheet","N-ch MOSFET, 600 V, 0.125 Ω@10V, TO-220SIS, DTMOSⅣ-H","","N-ch","600","+/-30","25","45","2400","40","","400","3300","","","","","","","","","0.125","","3","N","TO-220SIS","DTMOSⅣ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK25A60X5","Datasheet","N-ch MOSFET, 600 V, 0.14 Ω@10V, TO-220SIS, DTMOSⅣ-H","","N-ch","600","+/-30","25","45","2400","60","","120","600","","","","","","","","","0.14","","3","N","TO-220SIS","DTMOSⅣ-H","High-speed switching / High-speed diode","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK25E60X","Datasheet","N-ch MOSFET, 600 V, 0.125 Ω@10V, TO-220, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","40","","400","3300","","","","","","","","","0.125","","3","N","TO-220","DTMOSⅣ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK25E60X5","Datasheet","N-ch MOSFET, 600 V, 0.14 Ω@10V, TO-220, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","60","","120","600","","","","","","","","","0.14","","3","N","TO-220","DTMOSⅣ-H","High-speed switching / High-speed diode","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK25N60X","Datasheet","N-ch MOSFET, 600 V, 0.125 Ω@10V, TO-247, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","40","","400","3300","","","","","","","","","0.125","","3","N","TO-247","DTMOSⅣ-H","High-speed switching","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK25N60X5","Datasheet","N-ch MOSFET, 600 V, 0.14 Ω@10V, TO-247, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","60","","120","600","","","","","","","","","0.14","","3","N","TO-247","DTMOSⅣ-H","High-speed switching / High-speed diode","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
