Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,Technology,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IPDQ60R037CM8,https://www.infineon.com/part/IPDQ60R037CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R037CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r037cm8-datasheet-en.pdf,,,,
IPDQ60R016CM8,https://www.infineon.com/part/IPDQ60R016CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R016CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,8.4 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r016cm8-datasheet-en.pdf,,,,
IPDD60R180CM8,https://www.infineon.com/part/IPDD60R180CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R180CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.76 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r180cm8-datasheet-en.pdf,,,,
IPDD60R037CM8,https://www.infineon.com/part/IPDD60R037CM8,https://www.infineon.com/package/PG-HDSOP-10-1,active and preferred,IPDD60R037CM8XTMA1,PG-HDSOP-10,D-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.15 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdd60r037cm8-datasheet-en.pdf,,,,
IPD60R600CM8,https://www.infineon.com/part/IPD60R600CM8,,active and preferred,IPD60R600CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,600 mΩ,6 nC,0.28 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r600cm8-datasheet-en.pdf,,,,
IPD60R180CM8,https://www.infineon.com/part/IPD60R180CM8,,active and preferred,IPD60R180CM8XTMA1,PG-TO252-3,DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.63 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd60r180cm8-datasheet-en.pdf,,,,
IPP60R016CM8,https://www.infineon.com/part/IPP60R016CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R016CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,5.32 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r016cm8-datasheet-en.pdf,,,,
IPAN60R180CM8,https://www.infineon.com/part/IPAN60R180CM8,https://www.infineon.com/package/PG-TO220-3-323,active and preferred,IPAN60R180CM8XKSA1,PG-TO220-3,TO220 FullPAK narrow leads,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.69 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipan60r180cm8-datasheet-en.pdf,,,,
IPDQ60R007CM8,https://www.infineon.com/part/IPDQ60R007CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R007CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,7 mΩ,370 nC,13.36 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r007cm8-datasheet-en.pdf,,,,
IPT60R180CM8,https://www.infineon.com/part/IPT60R180CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R180CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.75 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r180cm8-datasheet-en.pdf,,,,
IPT60R037CM8,https://www.infineon.com/part/IPT60R037CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R037CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.73 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r037cm8-datasheet-en.pdf,,,,
IPT60R016CM8,https://www.infineon.com/part/IPT60R016CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R016CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.85 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r016cm8-datasheet-en.pdf,,,,
IPP60R180CM8,https://www.infineon.com/part/IPP60R180CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R180CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r180cm8-datasheet-en.pdf,,,,
IPP60R037CM8,https://www.infineon.com/part/IPP60R037CM8,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP60R037CM8XKSA1,PG-TO220-3,TO220,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,2.62 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r037cm8-datasheet-en.pdf,,,,
IPW60R037CM8,https://www.infineon.com/part/IPW60R037CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R037CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.44 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r037cm8-datasheet-en.pdf,,,,
IPW60R016CM8,https://www.infineon.com/part/IPW60R016CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R016CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.43 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r016cm8-datasheet-en.pdf,,,,
IPZA60R037CM8,https://www.infineon.com/part/IPZA60R037CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R037CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,3.92 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r037cm8-datasheet-en.pdf,,,,
IPZA60R016CM8,https://www.infineon.com/part/IPZA60R016CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R016CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,16 mΩ,171 nC,7.58 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r016cm8-datasheet-en.pdf,,,,
IPTA60R180CM8,https://www.infineon.com/part/IPTA60R180CM8,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IPTA60R180CM8XTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipta60r180cm8-datasheet-en.pdf,,,,
IPDQ60R055CM8,https://www.infineon.com/part/IPDQ60R055CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R055CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r055cm8-datasheet-en.pdf,,,,
IPDQ60R070CM8,https://www.infineon.com/part/IPDQ60R070CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R070CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r070cm8-datasheet-en.pdf,,,,
IPT60R055CM8,https://www.infineon.com/part/IPT60R055CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R055CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r055cm8-datasheet-en.pdf,,,,
IPT60R070CM8,https://www.infineon.com/part/IPT60R070CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R070CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r070cm8-datasheet-en.pdf,,,,
IPT60R120CM8,https://www.infineon.com/part/IPT60R120CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R120CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r120cm8-datasheet-en.pdf,,,,
IPT60R160CM8,https://www.infineon.com/part/IPT60R160CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R160CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,160 mΩ,18 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r160cm8-datasheet-en.pdf,,,,
IPW60R055CM8,https://www.infineon.com/part/IPW60R055CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R055CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,,,,55 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r055cm8-datasheet-en.pdf,,,,
IPW60R070CM8,https://www.infineon.com/part/IPW60R070CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R070CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r070cm8-datasheet-en.pdf,,,,
IPW60R120CM8,https://www.infineon.com/part/IPW60R120CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R120CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r120cm8-datasheet-en.pdf,,,,
IPZA60R055CM8,https://www.infineon.com/part/IPZA60R055CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R055CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,,,,55 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r055cm8-datasheet-en.pdf,,,,
IPZA60R070CM8,https://www.infineon.com/part/IPZA60R070CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R070CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r070cm8-datasheet-en.pdf,,,,
IPT60R099CM8,https://www.infineon.com/part/IPT60R099CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R099CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r099cm8-datasheet-en.pdf,,,,
IPW60R099CM8,https://www.infineon.com/part/IPW60R099CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R099CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r099cm8-datasheet-en.pdf,,,,
IPZA60R099CM8,https://www.infineon.com/part/IPZA60R099CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R099CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,,,,99 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r099cm8-datasheet-en.pdf,,,,
IPT60R024CM8,https://www.infineon.com/part/IPT60R024CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R024CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,CoolMOS™ 8,,,,24 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r024cm8-datasheet-en.pdf,,,,
IPW60R024CM8,https://www.infineon.com/part/IPW60R024CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R024CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,CoolMOS™ 8,,,,24 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r024cm8-datasheet-en.pdf,,,,
IPZA60R024CM8,https://www.infineon.com/part/IPZA60R024CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R024CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,CoolMOS™ 8,,,,24 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r024cm8-datasheet-en.pdf,,,,
IPDQ60R024CM8,https://www.infineon.com/part/IPDQ60R024CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R024CM8XTMA1,PG-HDSOP-22-1,Q-DPAK,Industrial,600 V,CoolMOS™ 8,,,,24 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r024cm8-datasheet-en.pdf,,,,
IPLT60R024CM8,https://www.infineon.com/part/IPLT60R024CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R024CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,24 mΩ,122 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r024cm8-datasheet-en.pdf,,,,
IPLT60R037CM8,https://www.infineon.com/part/IPLT60R037CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R037CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,37 mΩ,79 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r037cm8-datasheet-en.pdf,,,,
IPLT60R055CM8,https://www.infineon.com/part/IPLT60R055CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R055CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r055cm8-datasheet-en.pdf,,,,
IPLT60R070CM8,https://www.infineon.com/part/IPLT60R070CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R070CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r070cm8-datasheet-en.pdf,,,,
IPLT60R099CM8,https://www.infineon.com/part/IPLT60R099CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R099CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,99 mΩ,31 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r099cm8-datasheet-en.pdf,,,,
IPLT60R120CM8,https://www.infineon.com/part/IPLT60R120CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R120CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r120cm8-datasheet-en.pdf,,,,
IPLT60R160CM8,https://www.infineon.com/part/IPLT60R160CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R160CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,160 mΩ,18 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r160cm8-datasheet-en.pdf,,,,
IPLT60R180CM8,https://www.infineon.com/part/IPLT60R180CM8,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IPLT60R180CM8XTMA1,PG-HDSOP-16,TOLT,Industrial,600 V,CoolMOS™ 8,4.2 V,3.7 V,4.7 V,180 mΩ,17 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-iplt60r180cm8-datasheet-en.pdf,,,,
IPDQ60R017S7A,https://www.infineon.com/part/IPDQ60R017S7A,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R017S7AXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,196 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r017s7a-datasheet-en.pdf,,,,
IPDQ60R022S7A,https://www.infineon.com/part/IPDQ60R022S7A,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R022S7AXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,150 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r022s7a-datasheet-en.pdf,,,,
IPDQ60R040S7A,https://www.infineon.com/part/IPDQ60R040S7A,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R040S7AXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,83 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r040s7a-datasheet-en.pdf,,,,
IPQC60R010S7A,https://www.infineon.com/part/IPQC60R010S7A,https://www.infineon.com/package/PG-HDSOP-22-101,active and preferred,IPQC60R010S7AXTMA1,PG-HDSOP-22,Q-DPAK bottom-side cooled,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,318 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipqc60r010s7a-datasheet-en.pdf,,,,
IPQC60R017S7A,https://www.infineon.com/part/IPQC60R017S7A,https://www.infineon.com/package/PG-HDSOP-22-101,active and preferred,IPQC60R017S7AXTMA1,PG-HDSOP-22,Q-DPAK bottom-side cooled,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,196 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipqc60r017s7a-datasheet-en.pdf,,,,
IPQC60R040S7A,https://www.infineon.com/part/IPQC60R040S7A,https://www.infineon.com/package/PG-HDSOP-22-101,active and preferred,IPQC60R040S7AXTMA1,PG-HDSOP-22,Q-DPAK bottom-side cooled,Automotive,600 V,CoolMOS™ S7A,4 V,3.5 V,4.5 V,,83 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipqc60r040s7a-datasheet-en.pdf,,,,
IPDQ60T010S7A,https://www.infineon.com/part/IPDQ60T010S7A,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60T010S7AXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,600 V,CoolMOS™ S7TA,4 V,3.5 V,4.5 V,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60t010s7a-datasheet-en.pdf,,,,
IPQC60T010S7A,https://www.infineon.com/part/IPQC60T010S7A,https://www.infineon.com/package/PG-HDSOP-22-101,active and preferred,IPQC60T010S7AXTMA1,PG-HDSOP-22,Q-DPAK bottom-side cooled,Automotive,600 V,CoolMOS™ S7TA,4 V,3.5 V,4.5 V,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipqc60t010s7a-datasheet-en.pdf,,,,
IMBF170R1K0M1,https://www.infineon.com/part/IMBF170R1K0M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R1K0M1XTMA1,PG-TO263-7,,Industrial,1700 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r1k0m1-datasheet-en.pdf,,,,
IMBF170R450M1,https://www.infineon.com/part/IMBF170R450M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R450M1XTMA1,PG-TO263-7,,Industrial,1700 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r450m1-datasheet-en.pdf,,,,
IMBF170R650M1,https://www.infineon.com/part/IMBF170R650M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R650M1XTMA1,PG-TO263-7,,Industrial,1700 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r650m1-datasheet-en.pdf,,,,
AIMBG120R080M1,https://www.infineon.com/part/AIMBG120R080M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R080M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r080m1-datasheet-en.pdf,,,,
AIMBG120R040M1,https://www.infineon.com/part/AIMBG120R040M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R040M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r040m1-datasheet-en.pdf,,,,
AIMBG120R010M1,https://www.infineon.com/part/AIMBG120R010M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R010M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r010m1-datasheet-en.pdf,,,,
AIMBG120R030M1,https://www.infineon.com/part/AIMBG120R030M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R030M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r030m1-datasheet-en.pdf,,,,
AIMBG120R060M1,https://www.infineon.com/part/AIMBG120R060M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R060M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r060m1-datasheet-en.pdf,,,,
AIMBG120R020M1,https://www.infineon.com/part/AIMBG120R020M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R020M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r020m1-datasheet-en.pdf,,,,
AIMBG120R120M1,https://www.infineon.com/part/AIMBG120R120M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R120M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r120m1-datasheet-en.pdf,,,,
AIMBG120R160M1,https://www.infineon.com/part/AIMBG120R160M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R160M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r160m1-datasheet-en.pdf,,,,
IMYH200R012M1H,https://www.infineon.com/part/IMYH200R012M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R012M1HXKSA1,PG-TO247-4,,Industrial,2000 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r012m1h-datasheet-en.pdf,,,,
IMYH200R024M1H,https://www.infineon.com/part/IMYH200R024M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R024M1HXKSA1,PG-TO247-4,,Industrial,2000 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r024m1h-datasheet-en.pdf,,,,
IMYH200R050M1H,https://www.infineon.com/part/IMYH200R050M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R050M1HXKSA1,PG-TO247-4,,Industrial,2000 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r050m1h-datasheet-en.pdf,,,,
IMYH200R075M1H,https://www.infineon.com/part/IMYH200R075M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R075M1HXKSA1,PG-TO247-4,,Industrial,2000 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r075m1h-datasheet-en.pdf,,,,
IMYH200R100M1H,https://www.infineon.com/part/IMYH200R100M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R100M1HXKSA1,PG-TO247-4,,Industrial,2000 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r100m1h-datasheet-en.pdf,,,,
AIMDQ75R140M1H,https://www.infineon.com/part/AIMDQ75R140M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R140M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r140m1h-datasheet-en.pdf,,,,
AIMBG75R016M1H,https://www.infineon.com/part/AIMBG75R016M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R016M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r016m1h-datasheet-en.pdf,,,,
