Part Number,Datasheet,Stock Check,Status,Configuration,Technology,Type,Package,MSL,AEC-Q,VDS (V),VGS ±(V),ID Max. (A),VGS(th) Min. (V),VGS(th) Typ. (V),VGS(th) Max. (V),RDS(ON) @ 10V Typ. (mΩ),RDS(ON) @ 10V Max. (mΩ),RDS(ON) @ 4.5V Typ. (mΩ),RDS(ON) @ 4.5V Max. (mΩ),Qg (nC) @ 10V,Qg (nC) @ 4.5V,Qgs (nC),Qgd (nC),Ciss (pF),Coss (pF),Crss (pF),TJ Max. (°C),RoHS Compliant,Halogen-Free Standard,Solderability Standard,Terminal Finish,Product Weight(g),Flammability Rating
TSM60NE285CH,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CH_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CH/,Active,Single,Super Junction G4,N-Channel,TO-251 (I-PAK),,No,600,30,15.0,4.0,4.8,6.0,259.0,285.0,,,22.0,,7.7,14.0,884.0,30.0,8.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM60NE285CIT,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CIT_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CIT/,Active,Single,Super Junction G4,N-Channel,ITO-220TL,,No,600,30,9.5,4.0,4.8,6.0,239.0,285.0,,,22.0,,7.5,12.0,894.0,30.0,7.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,1.584,UL 94 V-0
TSM60NE285CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM60NE285CP_B2407.pdf,https://www.taiwansemi.com/en/stock-check/TSM60NE285CP/,Active,Single,Super Junction G4,N-Channel,TO-252 (D-PAK),,No,600,30,15.0,4.0,4.8,6.0,259.0,285.0,,,22.0,,7.7,14.0,884.0,30.0,8.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.39851,UL 94 V-0
TSM850N06CX,https://services.taiwansemi.com/storage/resources/datasheet/TSM850N06CX_C1811.pdf,https://www.taiwansemi.com/en/stock-check/TSM850N06CX/,Active,Single,Trench,N-Channel,SOT-23,1.0,No,60,20,3.0,1.2,1.8,2.5,68.0,85.0,80.0,100.0,9.5,4.6,1.9,1.6,529.0,29.0,3.0,150,Yes,IEC 61249-2-21,J-STD-002,Matte Tin,0.012742,UL 94 V-0
TSM900N06CH,https://services.taiwansemi.com/storage/resources/datasheet/TSM900N06CH_A2205.pdf,https://www.taiwansemi.com/en/stock-check/TSM900N06CH/,Active,Single,Trench,N-Channel,TO-251S (I-PAK SL),,No,60,20,11.0,1.2,1.8,2.5,76.0,90.0,87.0,100.0,9.5,,2.0,1.4,533.4,34.4,27.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.33,UL 94 V-0
TSM900N06CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM900N06CP_A2205.pdf,https://www.taiwansemi.com/en/stock-check/TSM900N06CP/,Active,Single,Trench,N-Channel,TO-252 (D-PAK),3.0,No,60,20,11.0,1.2,1.8,2.5,76.0,90.0,87.0,100.0,9.5,,2.0,1.4,533.4,34.4,27.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.32661,UL 94 V-0
TSM900N06CW,https://services.taiwansemi.com/storage/resources/datasheet/TSM900N06CW_A2205.pdf,https://www.taiwansemi.com/en/stock-check/TSM900N06CW/,Active,Single,Trench,N-Channel,SOT-223,3.0,No,60,20,6.0,1.2,1.6,2.5,71.0,90.0,79.0,126.0,11.0,,1.4,1.8,525.0,30.0,24.0,150,Yes,IEC 61249-2-21,J-STD-002,Matte Tin,0.12,UL 94 V-0
TSM900N10CH,https://services.taiwansemi.com/storage/resources/datasheet/TSM900N10_A15.pdf,https://www.taiwansemi.com/en/stock-check/TSM900N10CH/,Active,Single,Trench,N-Channel,TO-251S (I-PAK SL),,No,100,20,15.0,1.2,1.6,2.5,72.0,90.0,75.0,100.0,9.3,,2.1,1.8,1480.0,480.0,35.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.33,UL 94 V-0
TSM900N10CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM900N10_A15.pdf,https://www.taiwansemi.com/en/stock-check/TSM900N10CP/,Active,Single,Trench,N-Channel,TO-252 (D-PAK),3.0,No,100,20,15.0,1.2,1.6,2.5,72.0,90.0,75.0,100.0,9.3,,2.1,1.8,1480.0,480.0,35.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.32661,UL 94 V-0
TSM950N10CW,https://services.taiwansemi.com/storage/resources/datasheet/TSM950N10_D1807.pdf,https://www.taiwansemi.com/en/stock-check/TSM950N10CW/,Active,Single,Trench,N-Channel,SOT-223,3.0,No,100,20,6.5,1.2,1.6,2.5,80.0,95.0,85.0,110.0,9.3,,2.1,1.8,1480.0,480.0,35.0,150,Yes,IEC 61249-2-21,J-STD-002,Matte Tin,0.1245,UL 94 V-0
